"...1","mz","mzmin","mzmax","MD"
"CP001",105.070159912109,105.067848205566,105.071899414062,0.0701599121090055
"CP002",107.085548400879,107.083168029785,107.087333679199,0.0855484008790057
"CP003",109.065284729004,109.062835693359,109.067115783691,0.0652847290040057
"CP004",109.101409912109,109.098960876465,109.103248596191,0.101409912109006
"CP005",111.08088684082,111.078369140625,111.08277130127,0.0808868408199999
"CP006",113.059913635254,113.057327270508,113.06184387207,0.0599136352540057
"CP007",119.085403442383,119.082618713379,119.087501525879,0.0854034423829972
"CP008",121.02823638916,121.025375366211,121.030380249023,0.0282363891599999
"CP009",121.101219177246,121.098358154297,121.103370666504,0.101219177245994
"CP010",123.041442871094,123.038513183594,123.043640136719,0.0414428710940058
"CP011",123.080627441406,123.077697753906,123.082832336426,0.0806274414059942
"CP012",123.117286682129,123.114349365234,123.119483947754,0.117286682129006
"CP013",125.060195922852,125.057189941406,125.062446594238,0.060195922852003
"CP014",125.096160888672,125.093154907227,125.098411560059,0.0961608886720029
"CP015",133.10173034668,133.098434448242,133.104202270508,0.10173034668
"CP016",135.11701965332,135.113647460938,135.119552612305,0.11701965332
"CP017",137.057525634766,137.054077148438,137.060104370117,0.0575256347659945
"CP018",137.096542358398,137.09309387207,137.09912109375,0.0965423583980112
"CP019",139.007171630859,139.003646850586,139.009811401367,0.00717163085900552
"CP020",139.076171875,139.072647094727,139.078811645508,0.076171875
"CP021",139.112121582031,139.108596801758,139.114761352539,0.112121582030994
"CP022",149.02392578125,149.02001953125,149.02685546875,0.02392578125
"CP023",149.045349121094,149.041442871094,149.048278808594,0.0453491210940058
"CP024",149.13249206543,149.12858581543,149.13542175293,0.13249206543
"CP025",153.09147644043,153.08740234375,153.094528198242,0.0914764404300001
"CP026",159.101470947266,159.09716796875,159.104705810547,0.101470947265994
"CP027",161.132141113281,161.127746582031,161.136520385742,0.132141113280994
"CP028",179.068618774414,179.0634765625,179.072479248047,0.0686187744140057
"CP029",179.106323242188,179.101165771484,179.11018371582,0.106323242188012
"CP030",181.083572387695,181.078338623047,181.087493896484,0.0835723876949999
"CP031",181.120468139648,179.134643554688,183.105026245117,0.120468139648011
"CP032",183.063293457031,183.057968139648,183.067276000977,0.0632934570309942
