"","mz","mzmin","mzmax"
"CP001",105.070159912109,105.067848205566,105.071899414062
"CP002",107.085548400879,107.083168029785,107.087333679199
"CP003",109.065284729004,109.062835693359,109.067115783691
"CP004",109.101409912109,109.098960876465,109.103248596191
"CP005",111.08088684082,111.078369140625,111.08277130127
"CP006",113.059913635254,113.057327270508,113.06184387207
"CP007",119.085403442383,119.082618713379,119.087501525879
"CP008",121.02823638916,121.025375366211,121.030380249023
"CP009",121.101219177246,121.098358154297,121.103370666504
"CP010",123.041442871094,123.038513183594,123.043640136719
"CP011",123.080627441406,123.077697753906,123.082832336426
"CP012",123.117286682129,123.114349365234,123.119483947754
"CP013",125.060195922852,125.057189941406,125.062446594238
"CP014",125.096160888672,125.093154907227,125.098411560059
"CP015",133.10173034668,133.098434448242,133.104202270508
"CP016",135.11701965332,135.113647460938,135.119552612305
"CP017",137.057525634766,137.054077148438,137.060104370117
"CP018",137.096542358398,137.09309387207,137.09912109375
"CP019",139.007171630859,139.003646850586,139.009811401367
"CP020",139.076171875,139.072647094727,139.078811645508
"CP021",139.112121582031,139.108596801758,139.114761352539
"CP022",149.02392578125,149.02001953125,149.02685546875
"CP023",149.045349121094,149.041442871094,149.048278808594
"CP024",149.13249206543,149.12858581543,149.13542175293
"CP025",153.09147644043,153.08740234375,153.094528198242
"CP026",159.101470947266,159.09716796875,159.104705810547
"CP027",161.132141113281,161.127746582031,161.136520385742
"CP028",179.068618774414,179.0634765625,179.072479248047
"CP029",179.106323242188,179.101165771484,179.11018371582
"CP030",181.083572387695,181.078338623047,181.087493896484
"CP031",181.120468139648,179.134643554688,183.105026245117
"CP032",183.063293457031,183.057968139648,183.067276000977
"CP033",193.083648681641,193.077880859375,193.087966918945
"CP034",195.100402832031,195.096008300781,195.104797363281
"CP035",197.078598022461,197.072662353516,197.083053588867
"CP036",197.115615844727,197.109664916992,197.120071411133
"CP037",200.236999511719,200.230911254883,200.241561889648
"CP038",207.100509643555,207.094100952148,207.10530090332
