HMDB_ID	origin	Formula	Neutral mass	mz	md	inclusion
HMDB01453	Endogenous	CNS	57.9751447	58.9824213	0.982421295	y
HMDB31453	Endogenous	CO3	59.98474387	60.99202047	0.992020466	y
HMDB00595	Endogenous	CHO3	60.9925689	61.9998455	0.999845498	y
HMDB02179	Endogenous	NO3	61.98781787	62.99509447	0.995094471	y
HMDB02878	Endogenous	NO3	61.98781787	62.99509447	0.995094471	y
HMDB02077	Endogenous	ClO2	66.95868195	67.96595855	0.965958551	y
HMDB12974	Endogenous	CHNOS	74.97788435	75.98516095	0.985160949	y
HMDB01443	Endogenous	O3P	78.95850538	79.96578198	0.965781978	y
HMDB00240	Endogenous	O3S	79.95681456	80.96409116	0.964091156	y
HMDB01033	Endogenous	HO3S	80.96463959	81.97191619	0.971916188	y
HMDB11110	Endogenous	H2Se	81.93217189	82.93944849	0.939448492	y
HMDB02036	Endogenous	ClO3	82.95359657	83.96087317	0.960873173	y
HMDB31548	Endogenous	CH2Cl2	83.95335548	84.96063208	0.960632078	y
HMDB12916	Endogenous	CH2NO2S	91.980624	92.9879006	0.987900603	y
HMDB31524	Endogenous	CH3Br	93.94181274	94.94908934	0.949089343	y
HMDB31331	Endogenous	C2H3ClO2	93.98215705	94.98943365	0.989433647	y
HMDB05879	Endogenous	C2H6S2	93.99109157	94.99836817	0.998368172	y
HMDB31707	Endogenous	C2H6S2	93.99109157	94.99836817	0.998368172	y
HMDB32253	Endogenous	C2H6S2	93.99109157	94.99836817	0.998368172	y
HMDB32428	Endogenous	C2H6S2	93.99109157	94.99836817	0.998368172	y
HMDB01448	Endogenous	O4S	95.95172918	96.95900578	0.959005778	y
HMDB00973	Endogenous	HO4P	95.96124503	96.96852163	0.968521632	y
HMDB31436	Endogenous	H4O4Si	95.98788515	96.99516175	0.995161749	y
HMDB29571	Endogenous	C2H4Cl2	97.96900554	98.97628214	0.976282142	y
HMDB02142	Endogenous	H3O4P	97.9768951	98.9841717	0.984171696	y
HMDB06509	Endogenous	C6H16N	102.1282745	103.1355511	0.135551117	y
HMDB00257	Endogenous	O3S2	111.9288852	112.9361618	0.936161846	y
HMDB29720	Endogenous	C4H4S2	115.9754415	116.9827181	0.982718108	y
HMDB29596	Endogenous	CHCl3	117.9143832	118.9216598	0.921659753	y
HMDB31522	Endogenous	C3H2O5	117.9902232	118.9974998	0.997499774	y
HMDB01417	Endogenous	MnO4	118.9177081	119.9249847	0.924984724	y
HMDB29570	Endogenous	CCl2F2	119.9345118	120.9417884	0.941788424	y
HMDB01368	Endogenous	C3H4O3S	119.9881147	120.9953913	0.995391284	y
HMDB42052	Endogenous	C3H9Se	124.9869471	125.9942237	0.994223716	y
