"","Type","Treatment"
"2207RUQ_0001BLANK_A1","BLANK","DMSO"
"2207RUQ_0002_A1","SAMPLE","DMSO"
"2207RUQ_0003_A1","SAMPLE","DMSO"
"2207RUQ_0004_A1","SAMPLE","DMSO"
"2207RUQ_0005_A1","SAMPLE","DMSO"
"2207RUQ_0006_A1","SAMPLE","DMSO"
"2207RUQ_0007_A1","SAMPLE","DMSO"
"2207RUQ_0008_A1","SAMPLE","TMX"
"2207RUQ_0009_A1","SAMPLE","TMX"
"2207RUQ_0010_A1","SAMPLE","TMX"
"2207RUQ_0012_A1","SAMPLE","TMX"
"2207RUQ_0013_A1","SAMPLE","TMX"
"2207RUQ_0014_A1","SAMPLE","TMX"
"2207RUQ_0016BLANK_A1","BLANK","DMSO"
"2207RUQ_0017BLANKMEDIA_TAM_A1","BLANK","TMX"
"2207RUQ_0018BLANKMEDIA_TAM_A1","BLANK","TMX"
"2207RUQ_0019BLANKMEDIA_TAM_A1","BLANK","TMX"
"2207RUQ_0020_A1","SAMPLE","DMSO"
"2207RUQ_0020BLANKMEDIA_TAM_A1","BLANK","TMX"
"2207RUQ_0021_A1","SAMPLE","DMSO"
"2207RUQ_0022_A1","SAMPLE","DMSO"
"2207RUQ_0023_A1","SAMPLE","DMSO"
"2207RUQ_0024_A1","SAMPLE","DMSO"
"2207RUQ_0025_A1","SAMPLE","DMSO"
"2207RUQ_0026BLANKMEDIA_DMSO_A1","BLANK","DMSO"
"2207RUQ_0027BLANKMEDIA_DMSO_A1","BLANK","DMSO"
"2207RUQ_0028BLANKMEDIA_DMSO_A1","BLANK","DMSO"
"2207RUQ_0029BLANKMEDIA_DMSO_A1","BLANK","DMSO"
"2207RUQ_0030_A1","SAMPLE","TMX"
"2207RUQ_0031_A1","SAMPLE","TMX"
"2207RUQ_0032_A1","SAMPLE","TMX"
"2207RUQ_0033_A1","SAMPLE","TMX"
"2207RUQ_0034_A1","SAMPLE","TMX"
"2207RUQ_0035_A1","SAMPLE","TMX"
