"","Sample.number","phenotype","Type"
"sample001",1,"differentiated","SAMPLE"
"sample002",2,"differentiated","SAMPLE"
"sample003",3,"differentiated","SAMPLE"
"sample004",4,"differentiated","SAMPLE"
"sample005",5,"differentiated","SAMPLE"
"sample006",6,"differentiated","SAMPLE"
"sample007",7,"differentiated","SAMPLE"
"sample008",8,"differentiated","SAMPLE"
"sample009",9,"differentiated","SAMPLE"
"sample010",10,"differentiated","SAMPLE"
"sample011",11,"differentiated","SAMPLE"
"sample012",12,"differentiated","SAMPLE"
"sample013",13,"differentiated","SAMPLE"
"sample014",14,"differentiated","SAMPLE"
"sample015",15,"differentiated","SAMPLE"
"sample016",16,"differentiated","SAMPLE"
"sample017",17,"differentiated","SAMPLE"
"sample018",18,"differentiated","SAMPLE"
"sample019",19,"differentiated","SAMPLE"
"sample020",20,"differentiated","SAMPLE"
"sample021",21,"differentiated","SAMPLE"
"sample022",22,"differentiated","SAMPLE"
"sample023",23,"differentiated","SAMPLE"
"sample025",25,"differentiated","SAMPLE"
"sample026",26,"differentiated","SAMPLE"
"sample027",27,"differentiated","SAMPLE"
"sample028",28,"differentiated","SAMPLE"
"sample029",29,"differentiated","SAMPLE"
"sample030",30,"differentiated","SAMPLE"
"sample031",31,"differentiated","SAMPLE"
"sample032",32,"differentiated","SAMPLE"
"sample033",33,"differentiated","SAMPLE"
"sample034",34,"differentiated","SAMPLE"
"sample035",35,"differentiated","SAMPLE"
"sample036",36,"differentiated","SAMPLE"
"sample057",57,"differentiated","SAMPLE"
"sample058",58,"differentiated","SAMPLE"
"sample060",60,"differentiated","SAMPLE"
"sample061",61,"differentiated","SAMPLE"
"sample062",62,"differentiated","SAMPLE"
"sample063",63,"differentiated","SAMPLE"
"sample064",64,"differentiated","SAMPLE"
"sample065",65,"differentiated","SAMPLE"
"sample066",66,"differentiated","SAMPLE"
"sample067",67,"differentiated","SAMPLE"
"sample068",68,"differentiated","SAMPLE"
"sample069",69,"differentiated","SAMPLE"
"sample070",70,"differentiated","SAMPLE"
"sample071",71,"differentiated","SAMPLE"
"sample073",73,"differentiated","SAMPLE"
"sample074",74,"differentiated","SAMPLE"
"sample075",75,"differentiated","SAMPLE"
"sample076",76,"differentiated","SAMPLE"
"sample077",77,"differentiated","SAMPLE"
"sample078",78,"differentiated","SAMPLE"
"sample079",79,"differentiated","SAMPLE"
"sample080",80,"differentiated","SAMPLE"
"sample081",81,"differentiated","SAMPLE"
"sample082",82,"differentiated","SAMPLE"
"sample083",83,"differentiated","SAMPLE"
"sample084",84,"differentiated","SAMPLE"
"sample085",85,"differentiated","SAMPLE"
"sample086",86,"differentiated","SAMPLE"
"sample087",87,"differentiated","SAMPLE"
"sample140",140,"na�ve ","SAMPLE"
"sample141",141,"na�ve ","SAMPLE"
"sample142",142,"na�ve ","SAMPLE"
"sample143",143,"na�ve ","SAMPLE"
"sample144",144,"na�ve ","SAMPLE"
"sample145",145,"na�ve ","SAMPLE"
"sample146",146,"na�ve ","SAMPLE"
"sample147",147,"na�ve ","SAMPLE"
"sample148",148,"na�ve ","SAMPLE"
"sample149",149,"na�ve ","SAMPLE"
"sample150",150,"na�ve ","SAMPLE"
"sample151",151,"na�ve ","SAMPLE"
"sample152",152,"na�ve ","SAMPLE"
"sample153",153,"na�ve ","SAMPLE"
"sample154",154,"na�ve ","SAMPLE"
"sample155",155,"na�ve ","SAMPLE"
"sample156",156,"na�ve ","SAMPLE"
"sample158",158,"na�ve ","SAMPLE"
"sample159",159,"na�ve ","SAMPLE"
"sample160",160,"na�ve ","SAMPLE"
"sample161",161,"na�ve ","SAMPLE"
"sample163",163,"na�ve ","SAMPLE"
"sample164",164,"na�ve ","SAMPLE"
"sample165",165,"na�ve ","SAMPLE"
"sample166",166,"na�ve ","SAMPLE"
"sample167",167,"na�ve ","SAMPLE"
"sample168",168,"na�ve ","SAMPLE"
"sample169",169,"na�ve ","SAMPLE"
"sample170",170,"na�ve ","SAMPLE"
"sample171",171,"na�ve ","SAMPLE"
"sample172",172,"na�ve ","SAMPLE"
"sample173",173,"na�ve ","SAMPLE"
"sample174",174,"na�ve ","SAMPLE"
"sample175",175,"na�ve ","SAMPLE"
"sample176",176,"na�ve ","SAMPLE"
"sample177",177,"na�ve ","SAMPLE"
"sample178",178,"na�ve ","SAMPLE"
"sample179",179,"na�ve ","SAMPLE"
"sample180",180,"na�ve ","SAMPLE"
"sample181",181,"na�ve ","SAMPLE"
"sample182",182,"na�ve ","SAMPLE"
"sample183",183,"na�ve ","SAMPLE"
"blank_ionization_solvent_05",NA,NA,"BLANK"
"blank_media_05",NA,NA,"BLANK"
"blank_media_06",NA,NA,"BLANK"
"blank_solvent_06",NA,NA,"BLANK"
"media_blank_01",NA,NA,"BLANK"
"media_blank_02",NA,NA,"BLANK"
"media_blank_03",NA,NA,"BLANK"
"media_blank_04",NA,NA,"BLANK"
"organic_solvent_blank_01",NA,NA,"BLANK"
"organic_solvent_blank_02",NA,NA,"BLANK"
"organic_solvent_blank_03",NA,NA,"BLANK"
"organic_solvent_blank_04",NA,NA,"BLANK"
